player_id,team,position,season
8476448,VGK,C,20232024
8476453,TBL,R,20232024
8476454,EDM,C,20232024
8476456,CGY,L,20232024
8476457,SEA,D,20232024
8476458,ANA,C,20232024
8476459,NYR,C,20232024
8476460,WPG,C,20232024
8476461,PHI,C,20232024
8476462,NJD,D,20232024
8476463,MIN,D,20232024
8476467,SEA,D,20232024
8476468,VAN,C,20232024
8476469,MTL,R,20232024
8476473,CHI,D,20232024
8476474,CAR,R,20232024
8476479,LAK,C,20232024
8476480,WPG,C,20232024
8476483,PIT,R,20232024
8476525,WPG,D,20232024
8476539,VGK,R,20232024
8476624,NYR,C,20232024
8476792,STL,D,20232024
8476822,TBL,C,20232024
8476826,SEA,C,20232024
8476853,TOR,D,20232024
8476854,BOS,D,20232024
8476856,TBL,D,20232024
8476858,VAN,L,20232024
8476867,CBJ,C,20232024
8476869,CAR,D,20232024
8476871,MTL,L,20232024
8476872,PHI,C,20232024
8476873,NSH,L,20232024
8476874,DET,D,20232024
8476875,MTL,D,20232024
8476878,BUF,C,20232024
8476879,EDM,D,20232024
8476880,WSH,R,20232024
8476881,VGK,C,20232024
8476882,CAR,C,20232024
8476884,DAL,D,20232024
8476885,NYR,D,20232024
8476887,NSH,L,20232024
8476889,DAL,C,20232024
8476891,BOS,D,20232024
8476892,STL,D,20232024
8476897,STL,C,20232024
8476902,DAL,D,20232024
8476905,VGK,C,20232024
8476906,DET,D,20232024
8476907,STL,L,20232024
8476913,SEA,C,20232024
8476915,MIN,L,20232024
8476917,NYI,D,20232024
8476918,NYR,L,20232024
8476919,NJD,C,20232024
8476921,CAR,L,20232024
8476923,CBJ,D,20232024
8476925,NSH,C,20232024
8476927,VAN,C,20232024
8476931,TOR,D,20232024
8476934,ANA,L,20232024
8476952,WPG,C,20232024
8476958,CAR,D,20232024
8476960,CHI,C,20232024
8476967,EDM,D,20232024
8476979,NYR,D,20232024
8476981,MTL,R,20232024
8476988,SJS,D,20232024
8476994,PIT,C,20232024
8477015,EDM,R,20232024
8477018,VGK,D,20232024
8477021,ARI,C,20232024
8477034,CHI,D,20232024
8477070,ARI,C,20232024
8477073,NJD,L,20232024
8477126,BOS,C,20232024
8477149,SJS,R,20232024
8477220,WPG,D,20232024
8477244,NYR,D,20232024
8477320,NYR,L,20232024
8477330,OTT,L,20232024
